image_id,n_gt_cells,fg_fraction,iou_U-Net (No Aug),iou_U-Net (Geo Aug),iou_U-Net (Full FT)
615985773f1469fbc00915b3e82d1d4942051c09ddea2667e37ad361ed2e9d59,35,0.152679443359375,0.7939917764538055,0.8653544849197023,0.8871602804187074
d1dbc6ee7c44a7027e935d040e496793186b884a1028d0e26284a206c6f5aff0,17,0.0280303955078125,0.8470646275283671,0.8411445485939812,0.8587229763700351
5bda829acd824821bc1f3f6573cf065d364653d5322f033a4af943f7a6170566,20,0.250732421875,0.9335689045936396,0.9377806665090995,0.9344849873670603
fdda64c47361b0d1a146e5b7b48dc6b7de615ea80b31f01227a3b16469589528,30,0.1398162841796875,0.7244196392461376,0.8528086512466206,0.8533842344201403
61a15ccbfebb9d2fc54c068472a75d7babfb3f48fea008470e7db807585f9510,42,0.0999908447265625,0.9042381580876961,0.9080357142857143,0.9136021267168808
353ab00e964f71aa720385223a9078b770b7e3efaf5be0f66e670981f68fe606,50,0.1978302001953125,0.7356019261637239,0.8723666111633968,0.8774146162320969
b1a239838c7dbb34ffea851ad537899f24da62f4e3f3fd6d835ff7b922f27313,29,0.3402862548828125,0.9208558010088711,0.9269790124531917,0.9259066909027958
9c95eae11da041189e84cda20bdfb75716a6594684de4b6ce12a9aaadbb874c9,20,0.0183258056640625,0.7664624808575804,0.7665165165165165,0.7251908396946565
c0152b1a260e71f9823d17f4fbb4bf7020d5dce62b4a12b3099c1c8e52a1c43a,25,0.233489990234375,0.8122803883032577,0.8623279850970494,0.8567819548872181
50a7ea80dd73232a17f98b5c83f62ec89989e892fe25b79b36f99b3872a7d182,22,0.2211151123046875,0.9182303883242117,0.9222737061933042,0.9210252406973718
77ceeb87f560775ac150b8b9b09684ed3e806d0af6f26cce8f10c5fc280f5df2,30,0.1884765625,0.7862042088854247,0.8076261915924363,0.8660410202073715
4ff152d76db095f75c664dd48e41e8c9953fd0e784535883916383165e28a08e,6,0.01727294921875,0.9680759275237274,0.9678540399652477,0.97398091934085
1a75e9f15481d11084fe66bc2a5afac6dc5bec20ed56a7351a6d65ef0fe8762b,8,0.0114288330078125,0.7980241492864983,0.7928416485900217,0.7818181818181819
623cf6987b3fac8f384c09f40d98c5e739c097aa9a9627054542aa27f7d38db1,23,0.090850830078125,0.7443217865753077,0.7571614583333334,0.8771735693961429
9ebcfaf2322932d464f15b5662cae4d669b2d785b8299556d73fffcae8365d32,58,0.4078826904296875,0.8044780005206977,0.8552221620157139,0.8634154747544374
785555c0cbb49dad835635217085287a8cc61c27d26f0e106b70c1dfd05784dc,19,0.028839111328125,0.7953648915187377,0.8237373737373738,0.8294147073536768
fadeb0ab092833f27daaeb3e24223eb090f9536b83f68cde8f49df7c544f711b,39,0.051055908203125,0.841545643153527,0.8658705915023605,0.851664447403462
573a657d5e5fcb9574a758b0ab34b09c79d7ba374ceb71227c3dc88f009a3f6b,27,0.100250244140625,0.7142857142857143,0.8899313821593614,0.8818207126948775
