epoch,train_loss,val_iou
1,0.5654454083482096,0.8441581221727225
2,0.5145739400682371,0.8338342629946195
3,0.48203235766119207,0.8426589140525231
4,0.4610912544914514,0.8416811136099008
5,0.4361180754239894,0.8224320365832403
6,0.4027225968758922,0.8392413166853098
7,0.4031070396919881,0.8458187442559463
8,0.38550906068037366,0.844993559213785
9,0.3727810790469824,0.8315025705557603
10,0.3667613723553902,0.8405217620042654
11,0.36913042866494045,0.8446456148074224
12,0.3563811928033829,0.8509870721743658
13,0.3564157618964014,0.8527785768875709
14,0.34222895830623373,0.8486896340663617
15,0.34419470766851723,0.8469498570148761
16,0.3355115223522029,0.8504697680473328
17,0.3257331095697466,0.8516972936116732
18,0.3316922278936244,0.8526967947299664
19,0.32476816899027705,0.8529865604180557
20,0.32513811334598164,0.8479519853225121
21,0.304938976799161,0.8550592706753657
22,0.3065048775150756,0.8589855019862835
23,0.32634569667587593,0.8538756370544434
24,0.3079822963673221,0.8574168544549209
25,0.31215142058439493,0.8575545320144067
26,0.29849499291624904,0.8624569819523737
27,0.30889055416111116,0.8574474499775813
28,0.3039443156689652,0.8569764449046209
29,0.29645771120698,0.8539833655724158
30,0.29950155157688235,0.8598555051363431
31,0.2944286862188134,0.8561018292720501
32,0.31118992512876337,0.8608880043029785
33,0.2908183017299195,0.8603690312458918
34,0.2892875026080234,0.8631587762099046
35,0.2853646029618161,0.858633279800415
36,0.2957301292537658,0.864280274281135
37,0.2841002904186564,0.8591004059864924
38,0.29437386386158054,0.8573325643172631
39,0.28440558343879446,0.8589600187081557
40,0.2819344041761288,0.8660576664484464
41,0.2866276271087079,0.8652972212204566
42,0.2986971272909937,0.8651507359284621
43,0.2789597964483844,0.8649739347971402
44,0.27515664893733566,0.8646413867290204
45,0.27241494328029886,0.8658171341969416
46,0.2702600362379689,0.8649024504881638
47,0.2730313176212232,0.8650407424339881
48,0.2848906297821644,0.8667022631718562
49,0.27230702328287865,0.8661922262265132
50,0.27787648486204386,0.8683559940411494
51,0.27495522612382556,0.8660271947200482
52,0.27293082837723504,0.863507981483753
53,0.2641590336753317,0.8681638561762296
54,0.2664600183402211,0.8683460263105539
55,0.2636144309004476,0.868389042524191
56,0.27073637734759937,0.8685229879159194
57,0.2679599090055986,0.868163892856011
58,0.2684429066240295,0.8674771510637723
59,0.27142874231515834,0.865918347468743
60,0.2704574123394391,0.8701992355860196
61,0.26221535028504933,0.8692957437955416
62,0.2666482777634928,0.869935549222506
63,0.26385913998627464,0.8669007649788489
64,0.26609047545381814,0.8694272545667795
65,0.2612818287423819,0.8704683047074538
66,0.2598917064341632,0.8690639596719009
67,0.26555432637860954,0.8702848828755892
68,0.2666567304163925,0.8689864644637475
69,0.2565937100116872,0.8706955038584195
70,0.2615319409153678,0.8701849442261916
71,0.2609782674588448,0.8708946475615869
72,0.2608632695330076,0.8706439366707435
73,0.26150564627706513,0.8714859944123489
74,0.25741402435401256,0.8718582162490258
75,0.26275332235107735,0.8706780076026917
76,0.2606230556718574,0.8711524376502404
77,0.2623895805729322,0.8707564335602981
78,0.2583927090995568,0.871032531444843
79,0.2632370461856038,0.8712203273406396
80,0.2564315371030618,0.8710524577360886
