epoch,train_loss,val_iou
1,0.5234238736885638,0.8376751266993009
2,0.4591123210497139,0.8557672500610352
3,0.4316572194749659,0.8515114738390996
4,0.4411089171555417,0.8538760772118201
5,0.4022711370109527,0.856747187100924
6,0.37907870655710046,0.8463022250395554
7,0.3708346552592664,0.8527567294927744
8,0.3438443144983497,0.8589033301060016
9,0.3828413637955327,0.848413192308866
10,0.35442457883811196,0.8563768084232624
11,0.32793977511815786,0.789511501789093
12,0.33439314513167073,0.8565562780086811
13,0.3120898525576946,0.8598992045109088
14,0.32083884916029687,0.8577085641714243
15,0.314493911448589,0.8591702121954697
16,0.2978200086138465,0.8604784562037542
17,0.30377794087918336,0.8583656136806195
18,0.29543581223192295,0.8638446514423077
19,0.28692366035024,0.8632108798393836
20,0.3062786091704014,0.8605781426796546
21,0.2844642906888457,0.8630070548791152
22,0.29628536289881086,0.8545888708187983
23,0.28736605033401613,0.8628767407857455
24,0.2757598674617523,0.8609139414934012
25,0.2765343207712016,0.8648124612294711
26,0.2741911512268476,0.8577877879142761
27,0.2737454914849652,0.8668907926632807
28,0.2784684784402532,0.8662628669005173
29,0.27401049890794044,0.8664559400998629
30,0.27959457261503234,0.8661074225719159
31,0.288322140239487,0.8657530362789447
32,0.28879695712042247,0.8675263524055481
33,0.2698544176403156,0.8646391721872183
34,0.27321761366256997,0.8679981323388907
35,0.2682052166008752,0.867671943627871
36,0.26987871700081945,0.8687099722715524
37,0.26519847975289523,0.8655468454727759
38,0.27356437501335934,0.8660207023987403
39,0.26331483899069225,0.8684973120689392
40,0.2590069230184082,0.8659258759938754
41,0.26506076149704044,0.8701642018098098
42,0.27340444048081547,0.8671339933688824
43,0.26060391346777767,0.8710793119210464
44,0.2583681814803565,0.869048338669997
45,0.2641397155513448,0.8662890746043279
46,0.2604917720083363,0.8668155807715195
47,0.2626815256008432,0.8683718993113592
48,0.25890251489217614,0.8680937748688918
49,0.26275736382923837,0.870666348017179
50,0.25547797682364126,0.8689315777558547
51,0.2607980556478185,0.8694230959965632
52,0.25860905400977646,0.8716256068303034
53,0.25889743532031034,0.8665192952522864
54,0.25032681768590753,0.8689587712287903
55,0.2483860384826818,0.8670536600626432
56,0.25244587499740695,0.8698768799121563
57,0.2486694224240366,0.8698057715709393
58,0.2461049747614821,0.8689539432525635
59,0.24919890396851152,0.8696817939098065
60,0.2526692161875323,0.8695965317579416
61,0.24649184277234984,0.8693276368654691
62,0.24898309993349815,0.87050461769104
63,0.25326180451911345,0.8710894401256855
64,0.24666971411586794,0.8695216133044317
65,0.24727544262389506,0.8706261515617371
66,0.24643823418242872,0.8687286697901212
67,0.24832063414587463,0.8707770842772263
