image_id,mean_iou,precision_05,recall_05,f1_05,precision_07,recall_07,f1_07,n_gt_cells,n_pred_cells
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,0.5548786876720682,0.8888888888888888,0.5925925925925926,0.711111111111111,0.8888888888888888,0.5925925925925926,0.711111111111111,27,18
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,0.4601142537809677,0.5454545454545454,0.5,0.5217391304347826,0.12121212121212122,0.1111111111111111,0.11594202898550725,36,33
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,0.739624781628252,0.9242424242424242,0.8714285714285714,0.8970588235294117,0.8333333333333334,0.7857142857142857,0.8088235294117647,70,66
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,0.36069741313141357,0.5084745762711864,0.3488372093023256,0.41379310344827586,0.22033898305084745,0.1511627906976744,0.1793103448275862,86,59
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,0.6691073872183921,0.7777777777777778,1.0,0.8750000000000001,0.2222222222222222,0.2857142857142857,0.25,7,9
0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,0.4996729276601892,0.6923076923076923,0.5625,0.6206896551724138,0.23076923076923078,0.1875,0.20689655172413793,16,13
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,0.631375941694854,0.9387755102040817,0.7419354838709677,0.828828828828829,0.7755102040816326,0.6129032258064516,0.6846846846846848,62,49
02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,0.8141649913541673,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.7307692307692307,0.8260869565217391,0.7755102040816326,23,26
03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,0.09794863597612959,1.0,0.125,0.2222222222222222,1.0,0.125,0.2222222222222222,16,2
03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,0.8787391299444063,1.0,0.9545454545454546,0.9767441860465117,1.0,0.9545454545454546,0.9767441860465117,22,21
03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,0.8648951318861136,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7368421052631579,0.8235294117647058,0.7777777777777778,17,19
