epoch,train_loss,val_iou,val_dice
1,1.2514561758203022,0.5997801170899317,0.7479325028566214
2,0.8958281904964124,0.7410852496440594,0.8502640907581036
3,0.7579497856608892,0.7642264274450449,0.8653925290474525
4,0.6707687256699901,0.8010461467962998,0.888839474091163
5,0.5871086484294826,0.805170109638801,0.8914839121011587
6,0.526326284065085,0.8145514589089614,0.8969941964516273
7,0.46977263638528727,0.8000722986001235,0.8872922292122474
8,0.41320589083736226,0.8382230401039124,0.911457543189709
9,0.3790307630926876,0.8426742691260117,0.9140928937838628
10,0.35459484690326754,0.8455757773839511,0.9156125646371108
11,0.32804314994205863,0.851133433672098,0.9191226867529062
12,0.28926851410987015,0.8460490107536316,0.916130739908952
13,0.27276256604719973,0.8395472306471604,0.9120520857664255
14,0.25170814056517715,0.8572088571695181,0.922656618631803
15,0.2241264409938101,0.8560615548720727,0.9219511380562415
16,0.2153667315083035,0.8556662293580862,0.9217948913574219
17,0.20018243840185262,0.8573613854554983,0.9226842430921701
18,0.19743977840674126,0.8562420927561246,0.9220662437952482
19,0.1849637340943692,0.8592360524030832,0.9237766265869141
20,0.1775217406072859,0.8611556658378015,0.9249338415952829
21,0.1680650877750526,0.8632656840177683,0.9261383918615488
22,0.1637897943541155,0.8586739301681519,0.9234242485119746
23,0.1549220341494528,0.8620976989085858,0.9254576838933505
24,0.15006284870333592,0.8620647237851069,0.9253842005362878
25,0.1483330361671367,0.8611645194200369,0.9248648790212778
26,0.13948664940514807,0.859961422590109,0.9241456251878005
27,0.13599504707223278,0.8600592613220215,0.924152516401731
28,0.1315716993758234,0.8633832243772653,0.9261294099000784
29,0.12270955438331022,0.8629000416168799,0.9258650633004996
30,0.11963613167152566,0.8634274922884427,0.9261997708907495
31,0.11695536541736733,0.8604116485669062,0.9244538316359887
32,0.11236142619686612,0.8656760454177856,0.9275216827025781
33,0.10795476401256303,0.8623038530349731,0.9255361052659842
34,0.10757652139764722,0.8636112442383399,0.926343138401325
35,0.10696908957877402,0.8628336191177368,0.9258247705606314
36,0.10385356085785365,0.8636122987820551,0.9263282051453223
37,0.10169494442515455,0.8642483857961801,0.9266979006620554
38,0.09579227801601765,0.8634733374302204,0.926254024872413
39,0.09378132495587155,0.8633130972202008,0.9261444623653705
40,0.09062977072040913,0.861364653477302,0.925010832456442
41,0.0921275719873986,0.8625660401124221,0.9257210263839135
42,0.0893814135658539,0.8521389640294589,0.9196059887225811
43,0.08868111556364318,0.8629709619742173,0.9259329117261447
44,0.08585062307321419,0.8616780271896949,0.9251941029842083
45,0.08162973707510253,0.8635808046047504,0.9262994298568139
46,0.08154925476696531,0.8624542355537415,0.925655681353349
47,0.07705419914702237,0.8627333090855525,0.9258137024365939
