epoch,train_loss,val_iou,val_dice
1,1.2962528467178345,0.18068326665804937,0.30443066702439237
2,1.0860969653496375,0.4124782085418701,0.5809052815804114
3,0.9624000741885259,0.5734833822800562,0.7274196652265695
4,0.8770551223021287,0.6135599246391883,0.7593982815742493
5,0.8425796444599445,0.6581250841800983,0.7924914680994474
6,0.7601967958303598,0.6953916824780978,0.8190649656149057
7,0.7003389734488267,0.7137125042768625,0.8313449437801654
8,0.6650523222409762,0.7042590196316059,0.8234292360452505
9,0.6251640915870667,0.7152544168325571,0.8300103820287265
10,0.6408882209887872,0.6920511264067429,0.8142567873001099
11,0.5797285322959607,0.7123980247057401,0.8294943204292884
12,0.5404523381820092,0.7467906520916865,0.8527365143482502
13,0.538055209013132,0.7132574159365433,0.8290206973369305
14,0.5135760307312012,0.7600354552268982,0.8614415067892808
15,0.4923278528910417,0.7656494103945218,0.8657292265158433
16,0.5020652000720685,0.7671334239152762,0.8668704399695764
17,0.45745118535481966,0.7525610602819003,0.8556596682621882
18,0.4467661426617549,0.7702947809146001,0.8676789678060092
19,0.43166202994493336,0.7713873753180871,0.8683710281665509
20,0.41039501703702486,0.7451753616333008,0.8495735480235174
21,0.408951250406412,0.7796850800514221,0.8745730656843919
22,0.41800761452087987,0.7672798541875986,0.865144642499777
23,0.37795197046720064,0.7645298540592194,0.8628536141835726
24,0.40334089214985186,0.7798348069190979,0.8749374197079585
25,0.38061533524439883,0.7804897748506986,0.8746746870187613
26,0.3429766091016623,0.7773897281059852,0.872071371628688
27,0.3509804904460907,0.7772347927093506,0.8728056641725394
28,0.331511174256985,0.7784779438605676,0.872839079453395
29,0.34550825907633853,0.7890972036581773,0.8801279343091525
30,0.34068803374583906,0.7872073146013113,0.878766500032865
31,0.32972453190730167,0.7808816616351788,0.8750674907977765
32,0.3073486192868306,0.7948511517964877,0.8842164874076843
33,0.3091054627528557,0.7921213553502009,0.8822789375598614
34,0.30720096024183124,0.7958510380524856,0.8853880625504714
35,0.3060031498853977,0.7961416106957656,0.8848728904357324
36,0.30502212849947125,0.7886063043887799,0.879880102781149
37,0.281845476764899,0.7962058553328881,0.8856052848008963
38,0.2904685174043362,0.8026045652536246,0.8892405033111572
39,0.28170978335233837,0.7913122589771564,0.8810043518359845
40,0.2940782400277945,0.7981062302222619,0.8857119541901809
41,0.2725853518797801,0.7986854589902438,0.8860435669238751
42,0.2808563124675017,0.781946388574747,0.8755088540223929
43,0.27520910707803875,0.8041041906063373,0.8901942280622629
44,0.2549460599055657,0.8039861000501193,0.8902230033507714
45,0.27833428061925447,0.7992193973981417,0.8869029008425199
46,0.2587477977459247,0.7989830924914434,0.8868153370343722
47,0.2581176356627391,0.7984786675526545,0.8859820320056035
48,0.24081595585896418,0.7990309504362253,0.8863244469349201
49,0.2522228669661742,0.8058935220424945,0.8912191620239844
50,0.2600980756374506,0.8063752055168152,0.8914750034992511
51,0.24822029356773084,0.8010322359892038,0.8879442902711722
52,0.24908277277763075,0.8015119525102469,0.8881714023076571
53,0.23593150537747604,0.8056908387404221,0.8911601167458755
54,0.25530922412872314,0.8078782650140616,0.8924933992899381
55,0.2545011822993939,0.7995508909225464,0.886628664456881
56,0.23362629230205828,0.801564083649562,0.8881415678904607
57,0.23462037054392007,0.8088652078921978,0.8931578489450308
58,0.23460803008996522,0.8079296625577487,0.8925772171754104
59,0.23524446670825666,0.8078075418105493,0.8923261715815618
60,0.2417969978772677,0.8073806854394766,0.8920240493921133
61,0.2333563921543268,0.8101458687048692,0.8940330697939947
62,0.24355993477197793,0.8096256531201876,0.8936028480529785
63,0.2285198741234266,0.8066967267256516,0.8916577238302964
64,0.23473730454078087,0.8045808581205515,0.8903582692146301
65,0.2340490141740212,0.8048340632365301,0.8903064865332383
66,0.23486156876270586,0.8043086024431082,0.8898732478802021
67,0.23326284495683816,0.8093263461039617,0.8933521600869986
68,0.22510501283865708,0.808743784060845,0.8929827167437627
69,0.22763400238293868,0.8042811659666208,0.8899925488692063
70,0.2402986058822045,0.8068779340157142,0.8918533279345586
71,0.21260992151040298,0.8084853474910443,0.8928940754670364
72,0.21972262400847214,0.8096407193403977,0.8935559162726769
73,0.22192800962007964,0.810270382807805,0.8940062614587637
74,0.2184630185365677,0.8079478786541865,0.8924160095361563
75,0.22573744333707368,0.8073850549184359,0.8919508548883291
76,0.22878911059636337,0.8054148096304673,0.8907531958359939
77,0.22280427698905653,0.8070895625994756,0.8917506291316106
78,0.23287656330145323,0.8071343073478112,0.8918130260247451
79,0.22631538945894975,0.8083091378211975,0.8926708148075984
80,0.22588829696178436,0.8078204439236567,0.8924491313787607
