epoch,val_iou
1,0.5986080398926368
2,0.6630207621134244
3,0.76690817796267
4,0.7110802210294284
5,0.7773125171661377
6,0.7984543167627774
7,0.8244171050878671
8,0.8444631283099835
9,0.8439443569916946
10,0.8501109343308669
11,0.8505492026989276
12,0.8543002422039325
13,0.8570703909947321
14,0.8584678906660813
15,0.8131540142572843
16,0.8529883806522076
17,0.8567245235809913
18,0.860019000676962
19,0.8486913396761968
20,0.850378577525799
21,0.86608663889078
22,0.8582914609175462
23,0.8613169239117549
24,0.8623875700510465
25,0.8638454859073346
26,0.8659048309692969
27,0.8662055776669428
28,0.865118709894327
29,0.8623038071852464
30,0.8585743858264043
31,0.8636892483784602
32,0.8681333202582139
33,0.8663603846843426
34,0.8688581769283001
35,0.8640985580591055
36,0.8664677693293645
37,0.8664573889512283
38,0.8630648943094107
39,0.8648825333668635
40,0.8666929465073806
41,0.8637793568464426
42,0.8659379069621747
43,0.8668692983113803
44,0.8630927709432749
45,0.8669946468793429
46,0.8634256032797006
47,0.8660767995394193
48,0.8584979084821848
49,0.8645654274867132
