epoch,val_iou
1,0.6625288679049566
2,0.7438477323605464
3,0.8045258476183965
4,0.816774437060723
5,0.833309334058028
6,0.8370350966086755
7,0.8412353992462158
8,0.8294933300751907
9,0.8508164515862098
10,0.8486108596508319
11,0.8469582933645982
12,0.8479839517520025
13,0.8564277979043814
14,0.8586346094424908
15,0.8585935555971586
16,0.8537351718315711
17,0.8462101083535415
18,0.8556898144575266
19,0.8530743351349463
20,0.8577345609664917
21,0.8566826398556049
22,0.8624415626892676
23,0.8595352814747736
24,0.860225457411546
25,0.8627037497667166
26,0.8617983735524691
27,0.8643156290054321
28,0.8645012699640714
29,0.8625476085222684
30,0.8580871041004474
31,0.8613943641002362
32,0.8652481803527245
33,0.864001975609706
34,0.8492227288392874
35,0.8626488401339605
36,0.8633111944565406
37,0.8621821678601779
38,0.8655922000224774
39,0.860865042759822
40,0.8630517583626968
41,0.8578583506437448
42,0.8647367449907156
43,0.8635596449558551
44,0.8669872238085821
45,0.865605368064
46,0.8663005874707148
47,0.8670256046148447
48,0.8662901245630704
49,0.8626536772801325
50,0.8617508824055011
51,0.864944169154534
52,0.8642511734595666
53,0.865200244463407
54,0.8616863626700181
55,0.8632492560606736
56,0.8655578952569228
57,0.8611005682211655
58,0.862182250389686
59,0.8637871192051814
60,0.8634643646386954
