epoch,val_iou
1,0.5350578541939075
2,0.7403065057901236
3,0.7518822504923894
4,0.7853964613034174
5,0.8020694760175852
6,0.8275544689251826
7,0.7940549025168786
8,0.8426771897536057
9,0.8438421441958501
10,0.838646398140834
11,0.8388592967620263
12,0.821480815227215
13,0.8354905201838567
14,0.836799525297605
15,0.8360703266583956
16,0.8422427956874554
17,0.846906093450693
18,0.8551815885763902
19,0.8544227985235361
20,0.8370038912846491
21,0.8615586665960459
22,0.8581664241277255
23,0.8518917285479032
24,0.8571028984509982
25,0.8576542597550613
26,0.8610065487714914
27,0.8628266866390522
28,0.8625096311936011
29,0.8649347378657415
30,0.865495177415701
31,0.8588031163582435
32,0.8673976063728333
33,0.8632027781926669
34,0.8631653373058026
35,0.8625904275820806
36,0.8620316111124479
37,0.8606115533755376
38,0.8641381951478811
39,0.8645266661277184
40,0.8605407751523532
41,0.8623045682907104
42,0.8641507396331201
43,0.8647402433248667
44,0.8626042650296137
45,0.8656611488415644
46,0.8643473065816439
47,0.8645776418539194
