epoch,val_iou
1,0.6642713500903203
2,0.7602102435552157
3,0.7843049351985638
4,0.8099122460071857
5,0.81703303868954
6,0.8296378209040716
7,0.8400421646925119
8,0.8013112040666434
9,0.7994588705209585
10,0.7724101360027606
11,0.8417606078661405
12,0.8497157188562247
13,0.8532872154162481
14,0.8476055539571322
15,0.8372630110153785
16,0.8305803353969867
17,0.8528332572716933
18,0.8501058358412522
19,0.718628330872609
20,0.8501638311606187
21,0.8538717673375056
22,0.8567274212837219
23,0.85302367577186
24,0.8617121210465064
25,0.8471115185664251
26,0.8592107846186712
27,0.8625534727023199
28,0.863107823408567
29,0.8613944099499629
30,0.8634103765854468
31,0.8626354932785034
32,0.8533951823527997
33,0.8430084402744586
34,0.8515875752155597
35,0.8623998669477609
36,0.8615301709908706
37,0.8651299476623535
38,0.857882362145644
39,0.8668266580655024
40,0.8677878563220685
41,0.8639956345924964
42,0.8623793583649856
43,0.8650313661648676
44,0.8665744433036218
45,0.8668041137548593
46,0.8644756949864901
47,0.856427000119136
48,0.8606989475396963
49,0.8637932080488938
50,0.8682316908469567
51,0.8657362461090088
52,0.8660896558028001
53,0.8635439414244431
54,0.8612397404817435
55,0.8633173520748432
56,0.8664537989176236
57,0.860798886189094
58,0.8677564767690805
59,0.8656362982896658
60,0.8680352981273944
