epoch,val_iou
1,0.6517876959764041
2,0.7365488685094393
3,0.7380353579154382
4,0.8137785563102136
5,0.8197781489445612
6,0.8374128387524531
7,0.8465778644268329
8,0.8428568840026855
9,0.8433610475980319
10,0.8506136490748479
11,0.8513318621195279
12,0.8574536213508019
13,0.8524018296828637
14,0.8578847142366263
15,0.8601770538550156
16,0.8601503601441016
17,0.8567719872181232
18,0.8615757547892057
19,0.8543024384058439
20,0.8490963211426368
21,0.8624827632537255
22,0.8644924943263714
23,0.8638994235258836
24,0.8623216702387884
25,0.8659101908023541
26,0.8645182572878324
27,0.8600304310138409
28,0.8574404670641973
29,0.853667465540079
30,0.8602897112186139
31,0.8593637576470008
32,0.8660394136722271
33,0.8637722776486323
34,0.8625507950782776
35,0.8671569457420936
36,0.8664820148394659
37,0.8698620658654433
38,0.8609896256373479
39,0.8666249926273639
40,0.8650576930779678
41,0.8630669392072238
42,0.8677063676027151
43,0.8636697255648099
44,0.8623935442704421
45,0.8644640078911414
46,0.8603479541265048
47,0.8686972994070786
48,0.8662568880961492
49,0.8693590989479651
50,0.865220844745636
51,0.8624482980141273
52,0.8666156346981342
