epoch,val_iou
1,0.5565662842530471
2,0.7501336611234225
3,0.789441337952247
4,0.8071294243519123
5,0.8140901923179626
6,0.825059331380404
7,0.8290406419680669
8,0.8340762028327355
9,0.8416458047353305
10,0.8397553654817435
11,0.8468049810482905
12,0.8520016991175138
13,0.8525507541803213
14,0.8434543655468867
15,0.8433356606043302
16,0.8566975776965802
17,0.8538875533984258
18,0.8537869132482089
19,0.8595042549646817
20,0.8557057334826543
21,0.8535746106734643
22,0.8590659728417029
23,0.8594624445988581
24,0.8598242952273443
25,0.8604157246076144
26,0.8591099106348478
27,0.8611119664632357
28,0.8576560524793772
29,0.8541278426463788
30,0.8590241349660434
31,0.8622488104380094
32,0.8546676085545466
33,0.8597087447459881
34,0.8603675640546359
35,0.855133748971499
36,0.8587959775557885
37,0.8627375456003042
38,0.8613958817261916
39,0.8637122236765348
40,0.8596106767654419
41,0.862979036111098
42,0.8593062391647925
43,0.8566281749651983
44,0.8613225450882545
45,0.860023150077233
46,0.858561465373406
47,0.8580518823403579
48,0.8619533685537485
49,0.8609170180100661
50,0.8595778896258428
51,0.8627378665483915
52,0.8605832961889414
53,0.8606079954367417
54,0.8616180419921875
